Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Guaranteed Stop Loss,Take Profit,Trailing Stop,Financing,Commission,GSL Fee,GSL Premium,P/L,Amount,Balance
119,2/25/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.0585,,,,,,4941.02
,2/25/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.0485,,,,,,
,2/25/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.0035,,,,,,
,2/25/2020 16:00,CST,DAILY_FINANCING,TradeID: 77,EUR/USD,,,,,,,,,0.0035,,,,,,
,2/25/2020 16:00,CST,DAILY_FINANCING,TradeID: 69,USD/CNH,,,,,,,,,-0.0094,,,,,,
,2/25/2020 16:00,CST,DAILY_FINANCING,TradeID: 81,USD/CNH,,,,,,,,,-0.0005,,,,,,
,2/25/2020 16:00,CST,DAILY_FINANCING,TradeID: 108,USD/CNH,,,,,,,,,-0.0058,,,,,,
,2/25/2020 16:00,CST,DAILY_FINANCING,TradeID: 50,NZD/USD,,,,,,,,,-0.0013,,,,,,
120,2/26/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.1422,,,,,,4940.88
,2/26/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.1452,,,,,,
,2/26/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.0108,,,,,,
,2/26/2020 16:00,CST,DAILY_FINANCING,TradeID: 77,EUR/USD,,,,,,,,,0.0108,,,,,,
,2/26/2020 16:00,CST,DAILY_FINANCING,TradeID: 69,USD/CNH,,,,,,,,,-0.019,,,,,,
,2/26/2020 16:00,CST,DAILY_FINANCING,TradeID: 81,USD/CNH,,,,,,,,,0.0003,,,,,,
,2/26/2020 16:00,CST,DAILY_FINANCING,TradeID: 108,USD/CNH,,,,,,,,,0.0041,,,,,,
,2/26/2020 16:00,CST,DAILY_FINANCING,TradeID: 50,NZD/USD,,,,,,,,,-0.004,,,,,,
121,2/26/2020 18:10,CST,ORDER_FILL,STOP_LOSS_ORDER,EUR/USD,1.09106,100,Buy,0.009,,,,,0,0,0,,-1.001,,4939.88
122,2/26/2020 18:10,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
123,2/27/2020 4:11,CST,ORDER_FILL,TAKE_PROFIT_ORDER,USD/CNH,7.01091,100,Buy,0.0076,,,,,0,0,0,,0.357,,4940.23
124,2/27/2020 4:11,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
125,2/27/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.0743,,,,,,4940.16
,2/27/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.0487,,,,,,
,2/27/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.0035,,,,,,
,2/27/2020 16:00,CST,DAILY_FINANCING,TradeID: 69,USD/CNH,,,,,,,,,-0.0059,,,,,,
,2/27/2020 16:00,CST,DAILY_FINANCING,TradeID: 108,USD/CNH,,,,,,,,,-0.0219,,,,,,
,2/27/2020 16:00,CST,DAILY_FINANCING,TradeID: 50,NZD/USD,,,,,,,,,-0.0013,,,,,,
126,2/28/2020 5:57,CST,ORDER_FILL,TAKE_PROFIT_ORDER,NZD/USD,0.6232,100,Buy,0.0085,,,,,0,0,0,,2.001,,4942.16
127,2/28/2020 5:57,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
